lat,lng,state_id
6.0,68.0,0
6.0,68.25,0
6.0,68.5,0
6.0,68.75,0
6.0,69.0,0
6.0,69.25,0
6.0,69.5,0
6.0,69.75,0
6.0,70.0,0
6.0,70.25,0
6.0,70.5,0
6.0,70.75,0
6.0,71.0,0
6.0,71.25,0
6.0,71.5,0
6.0,71.75,0
6.0,72.0,0
6.0,72.25,0
6.0,72.5,0
6.0,72.75,0
6.0,73.0,0
6.0,73.25,0
6.0,73.5,0
6.0,73.75,0
6.0,74.0,0
6.0,74.25,0
6.0,74.5,0
6.0,74.75,0
6.0,75.0,0
6.0,75.25,0
6.0,75.5,0
6.0,75.75,0
6.0,76.0,0
6.0,76.25,0
6.0,76.5,0
6.0,76.75,0
6.0,77.0,0
6.0,77.25,0
6.0,77.5,0
6.0,77.75,0
6.0,78.0,0
6.0,78.25,0
6.0,78.5,0
6.0,78.75,0
6.0,79.0,0
6.0,79.25,0
6.0,79.5,0
6.0,79.75,0
6.0,80.0,0
6.0,80.25,0
6.0,80.5,0
6.0,80.75,0
6.0,81.0,0
6.0,81.25,0
6.0,81.5,0
6.0,81.75,0
6.0,82.0,0
6.0,82.25,0
6.0,82.5,0
6.0,82.75,0
6.0,83.0,0
6.0,83.25,0
6.0,83.5,0
6.0,83.75,0
6.0,84.0,0
6.0,84.25,0
6.0,84.5,0
6.0,84.75,0
6.0,85.0,0
6.0,85.25,0
6.0,85.5,0
6.0,85.75,0
6.0,86.0,0
6.0,86.25,0
6.0,86.5,0
6.0,86.75,0
6.0,87.0,0
6.0,87.25,0
6.0,87.5,0
6.0,87.75,0
6.0,88.0,0
6.0,88.25,0
6.0,88.5,0
6.0,88.75,0
6.0,89.0,0
6.0,89.25,0
6.0,89.5,0
6.0,89.75,0
6.0,90.0,0
6.0,90.25,0
6.0,90.5,0
6.0,90.75,0
6.0,91.0,0
6.0,91.25,0
6.0,91.5,0
6.0,91.75,0
6.0,92.0,0
6.0,92.25,0
6.0,92.5,0
6.0,92.75,0
6.0,93.0,0
6.0,93.25,0
6.0,93.5,0
6.0,93.75,0
6.0,94.0,0
6.0,94.25,0
6.0,94.5,0
6.0,94.75,0
6.0,95.0,0
6.0,95.25,0
6.0,95.5,0
6.0,95.75,0
6.0,96.0,0
6.0,96.25,0
6.0,96.5,0
6.0,96.75,0
6.0,97.0,0
6.0,97.25,0
6.0,97.5,0
6.0,97.75,0
6.25,68.0,0
6.25,68.25,0
6.25,68.5,0
6.25,68.75,0
6.25,69.0,0
6.25,69.25,0
6.25,69.5,0
6.25,69.75,0
6.25,70.0,0
6.25,70.25,0
6.25,70.5,0
6.25,70.75,0
6.25,71.0,0
6.25,71.25,0
6.25,71.5,0
6.25,71.75,0
6.25,72.0,0
6.25,72.25,0
6.25,72.5,0
6.25,72.75,0
6.25,73.0,0
6.25,73.25,0
6.25,73.5,0
6.25,73.75,0
6.25,74.0,0
6.25,74.25,0
6.25,74.5,0
6.25,74.75,0
6.25,75.0,0
6.25,75.25,0
6.25,75.5,0
6.25,75.75,0
6.25,76.0,0
6.25,76.25,0
6.25,76.5,0
6.25,76.75,0
6.25,77.0,0
6.25,77.25,0
6.25,77.5,0
6.25,77.75,0
